id,name,description,price,department,image_url,stock_quantity
1,Wireless Headphones,High-quality wireless headphones with noise cancellation,199.99,Electronics,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400,50
2,Smart Watch,Fitness tracking smartwatch with heart rate monitor,299.99,Electronics,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,30
3,Cotton T-Shirt,Comfortable cotton t-shirt in various colors,24.99,Clothing,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,100
4,Running Shoes,Lightweight running shoes for all terrains,89.99,Sports,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,75
5,Coffee Maker,Programmable coffee maker with thermal carafe,79.99,Home & Kitchen,https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6?w=400,25
6,Yoga Mat,Non-slip yoga mat for home workouts,34.99,Sports,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=400,60
7,Bluetooth Speaker,Portable bluetooth speaker with deep bass,149.99,Electronics,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,40
8,Denim Jeans,Classic fit denim jeans in blue wash,59.99,Clothing,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,80
9,Kitchen Knife Set,Professional knife set with wooden block,129.99,Home & Kitchen,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b?w=400,20
10,Gaming Mouse,RGB gaming mouse with adjustable DPI,89.99,Electronics,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400,35 
